업체명,공장사업장주소,위도,경도
(주)지석산업,경상남도 양산시 소주공단2길 78  ,35.420887,129.152367
동서에너지(주),인천광역시 옹진군 백령면 백령남로 135 ,37.959738,124.712603
(유)서원아스콘,전북특별자치도 군산시 산단로 133-17 (소룡동) ,35.958811,126.580144
(주)금천건설,전북특별자치도 고창군 신림면 왕림로 408 ,35.486476,126.72544
금강레미콘(주),강원특별자치도 강릉시 구정면 범일로 8 ,37.709876,128.915446
(주)필승아스콘,충청북도 보은군 수한면 장선소계로 376 ,36.452456,127.677014
(주)신동,경상남도 사천시 사남면 사남로 886-11 ,35.053005,128.095962
(주)동영아스콘,경상북도 경주시 건천읍 단석로 1631-327 ,35.828535,129.058038
(주)청하아스콘,경상북도 청도군 청도읍 새마을로 403 ,35.585755,128.770593
대림아스콘(주),경기도 용인시 처인구 남사읍 원암로 287,37.088658,127.178164
금강아스콘(주),경상북도 봉화군 봉성면 금봉리 710-5 ,36.900551,128.775607
난지아스콘(주),강원특별자치도 춘천시 동산면 종자리로 418 ,37.75739,127.752494
(주)창성,경상북도 울진군 기성면 기성로 860 ,36.812094,129.442243
하나아스콘(주) 화성사업소,경기도 화성시 양감면 정문송산로 65 ,37.098155,126.983598
(주)협신,경기도 가평군 상면 물골길 84-50 ,37.836211,127.318449
우정건설(주),경상북도 포항시 북구 홍해읍 동해대로 1954번길 01-23,36.146029,129.349009
(주)인천테크,인천광역시 서구 봉수대로 290(석남동)  ,37.501496,126.662373
(주)청광,경기도 용인시 처인구 모현면 백옥대로 103366,37.141207,127.195412
삼덕유화(주),인천광역시 서구 도담로 109  ,37.589263,126.61396
경안아스콘(주),경상북도 경주시 안강읍 강교리 1272 ,35.96877,129.121531
(주)에이치씨보광아스콘,경상북도 고령군 성산면 성암로 86-43 ,35.763288,128.381098
(주)경북환경,경상북도 예천군 호명읍 양궁로 682-9 ,36.61472,128.507661
(주)인천아스콘,인천광역시 서구 건지로153번길 25-13 (석남동) ,37.501079,126.656318
(주)대광아스콘,경상북도 청송군 진보면 월전리 227 ,36.538455,129.072445
삼성아스콘,제주특별자치도 서귀포시 대정읍 평화로89번길 169 ,33.270832,126.29102
주흘산업개발,경상북도 문경시 마성면 은성로 1412 ,36.675877,128.103724
경산산업(주),경상북도 경산시 남천면 조자길 85 ,35.767957,128.736539
태광아스콘(주),강원특별자치도 삼척시 근덕면 삼척로 3069-88 ,37.330255,129.248671
(주)대원아스콘,경기도 파주시 광탄면 부흥로 169번길 160,37.807961,126.873434
중앙아스콘(주),대전광역시 중구 단재로 378-47(어남동)  ,36.219508,127.414484
(주)와이앤피알에이,경상북도 영덕군 축산면 고경길 121 ,36.475743,129.419416
일진기업(주),경기도 양평군 양서면 경강로 1215 ,37.517443,127.420082
방태산업개발(주),강원특별자치도 화천군 하남면 춘화로 3174-13 ,38.085629,127.69394
(주)동아에이앤씨,경상북도 포항시 남구 섬안로46번길 26 (괴동동),35.998102,129.370592
(주)영진레미콘,경상북도 포항시 북구 청하면 동해대로 2534-90,36.191274,129.358341
(유)호경 완주지점,전북특별자치도 완주군 봉동읍 봉동로 810-74 ,35.980811,127.128984
남양아스콘(자),세종특별자치시 부강면 부강행산로 165  ,36.543971,127.364152
(주)태경아스콘,경기도 안성시 서운면 사갑 1길 296-133,36.9189,127.242354
인평산업(주),충청남도 태안군 남면 안면대로 1695-1 ,36.609624,126.318106
(주)대성아스콘,경기도 양주시 광적면 화합로 270-17 ,37.858401,126.966286
남부산업(주),경기도 화성시 향남읍 서봉로 714 ,37.138706,126.956572
(주)송촌아이앤디,전라남도 나주시 문평면 명하길 80-38 ,35.081632,126.60562
(주)삼광아스콘,경기도 여주시 강천면 강천로 4 ,37.26378,127.716253
(주)대덕산업,전라남도 담양군 대덕면 금산길 406 ,35.265614,127.048136
(주)대영건업,"경상남도 함안군 군북면 방어산로 509, 101호",35.282953,128.303803
정암레미콘(주),경상남도 고성군 하이면 삼상로 892 ,34.981096,128.138904
(주)찬우레미콘,경상남도 김해시 한림면 한림로 343번길 47-42,35.316591,128.795955
세일건업(주),경상북도 성주군 용암면 용정리 366 ,35.825003,128.332546
(주)신흥,전북특별자치도 남원시 보절면 진기리 1148-2 ,35.504422,127.407963
(주)동신아스콘,경상북도 영주시 장수면 용주로 551 ,36.787756,128.529296
종진아스콘(주),충청북도 괴산군 청안면 질마로 1145-40 ,36.728924,127.717369
세창아스콘(주),제주특별자치도 제주시 애월읍 소길리 160-10번지 ,33.417789,126.384705
(주)신동양,전라남도 고흥군 점암면 해창로 474 ,34.639075,127.379556
(주)신우아스콘,전라남도 고흥군 두원면 고흥로 2212 ,34.641518,127.304618
(주)아스콘플러스,경기도 파주시 월롱면 누현길 37 ,37.787352,126.790275
태창산업(주),경기도 여주시 북내면 외재로 172 ,37.357741,127.658035
안성산업(주),경기도 안성시 보개면 보삼로 39 ,37.104823,127.317068
하나아스콘(주),경기도 용인시 처인구 이동읍 백자로 77,37.216171,127.173468
(유)삼성환경건설,전북특별자치도 부안군 종유로 140-64  ,35.650374,126.68222
청산아스콘(주),경기도 연천군 청산면 청창로 100 ,38.007106,127.075136
충남아스콘(주),충청남도 부여군 석성면 금백로 657-56 ,36.260279,127.000826
윤성아스콘,대구광역시 달서구 문화회관8길 21 (장동) ,35.839753,128.52314
장장아스콘산업(주),부산광역시 사상구 낙동대로 671(엄궁동)  ,35.122808,128.964303
충경산업(주),충청남도 보령시 청라면 넙티로 611 ,36.43909,126.644801
(주)대한,경상남도 함안군 대산면 대부로 332 ,35.362167,128.460206
금제산업(주),전북특별자치도 남원시 덕과면 덕오로 478 ,35.524975,127.338997
