업체명,주소,위도,경도
선일기업(주),경기도 화성시 만년로969번길 3(안녕동),37.197005,127.004039
아주산업(주)수원공장,경기도 용인시 기흥구 중부대로 689(상하동),37.266637,127.139888
(주)삼표산업 안성공장,경기도 안성시 양성면 양성로 161,37.070076,127.203134
에스와이삼정레미콘 주식회사,경기 광주시 초월읍 경충대로963번길 11-50,37.363321,127.30515
(주)삼일레미콘,경기도 안성시 대덕면 능말길 36,37.045302,127.222882
(주)태명실업,경기도 이천시 대월면 사동로 29,37.231671,127.491356
(주)지구레미콘,경기도 화성시 향남읍 발안로464번길 25-41,37.127068,126.95885
동진산업(주),경기 수원시 권선구 덕영대로 1046,37.255887,127.0069
한라엔컴(ENCOM)(주)양주사업소,경기도 양주시 남면 감악산로 100,37.874121,126.982007
(주)삼표산업 화성공장,경기도 화성시 비봉면 양노남길 134,37.218835,126.867357
고려레미콘(주),경기도 화성시 양감면 제약단지로 153-42,37.092739,126.92802
(주)한내개발,경기도 포천시 화현면 영일로368번길 131-46,37.936366,127.249343
에스와이삼양알엠씨 주식회사,경기도 김포시 대곶면 약암로 583,37.609649,126.556243
아세아시멘트(주)서울레미콘공장,경기도 안양시 동안구 안양천동로 108(호계동),37.388566,126.942404
유진기업(주)강서,경기도 부천시 오정로 189(내동),37.526771,126.781029
(주)정선산업,경기도 광주시 오포읍 오포로520번길 24-20,37.343767,127.216269
(주)삼표산업 양주공장,경기도 양주시 광적면 부흥로 841-23,37.818461,126.988785
(주)삼표산업 용인공장,경기도 용인시 처인구 이동읍 백자로 459,37.197145,127.192356
주식회사 에스피레미콘 동서울공장,경기도 남양주시 진건읍 진관산단로59번길 7,37.636705,127.155299
(주)대성레미콘,경기도 양주시 광적면 화합로 270-17,37.858401,126.966286
신성레미콘 주식회사,경기도 파주시 월롱면 누현길 37,37.787352,126.790275
우리도시개발(주),경기도 안성시 원곡면 지문로 410,37.070826,127.145945
서보산업(주),경기도 평택시 청북읍 건의길 11,37.040356,126.947102
한일산업(주)평택공장,경기도 평택시 안중읍 서해로 1218-20,37.002194,126.946519
선진레미콘 주식회사,경기도 여주시 삼교2길 74(삼교동),37.228283,127.654064
(주)동양/건재부문 파주공장,경기도 파주시 탄현면 헤이리로199,37.80035,126.698811
한라엔컴(ENCOM)(주) 여주사업소,경기도 여주시 대신면 여양1로 302,37.411456,127.575375
유진기업(주)서서울,경기도 고양시  덕양구 통일로493번길 35(대자동),37.675477,126.883574
우림레미콘주식회사,경기도 하남시 초광산단로 8,37.526496,127.168883
유진기업(주)동서울,경기도 남양주시 진건읍 진관산단로 59번길 21,37.636983,127.153272
건설하이콘(주)포천공장,경기도 포천시 창수면 전영로 1242,38.01655,127.196264
대영레미콘(주),경기도 이천시 설성면 노성로 458-21,37.136404,127.499218
선일레미콘(주),"경기도 안양시 동안구 귀인로 68(호계동, 선일레미콘)",37.38215,126.947071
에스와이우리레미콘 주식회사,경기도 포천시 가산면 정금로 509-9,37.830878,127.203543
유진기업(주)수지,경기도 용인시 처인구 모현읍 포은대로 890,37.329657,127.144664
현대레미콘(주),경기도 여주시 가남읍 대신리길 213,37.181149,127.535603
한일시멘트(주)부천공장,경기도 부천시 석천로 470(삼정동),37.529215,126.76978
(주)금강레미컨,경기도 김포시 하성면 하성로 419,37.712416,126.636901
아세아시멘트(주)용인공장,경기도 용인시 처인구 남사읍 형제로 7,37.142707,127.156721
(주)한강레미콘,경기도 김포시 월곶면 월하로 189,37.714665,126.576823
아주산업(주) 광명공장,경기도 광명시 금오로 707(옥길동),37.463251,126.832525
유진기업(주)수원,경기도 화성시 향남읍 서봉로 720,37.139373,126.957072
(주)미래레미콘,경기도 평택시 남북대로 908(47-30외2필지),37.030997,127.129391
(주)금강,경기도 안성시 원곡면 만세로 865,37.060216,127.174553
쌍용레미콘(주)성남사업소,경기도 성남시 중원구 둔촌대로457번길 40(상대원동),37.433173,127.172272
세진알엠씨 주식회사,경기도 화성시 향남읍 발안로464번길 39,37.127318,126.957044
(주)동양/건재부문 안양공장,경기도 군포시 농심로 85,37.364208,126.956625
토성산업주식회사,경기도 포천시 소흘읍 무봉로 93,37.796548,127.135133
아주산업(주)비봉공장,경기도 화성시 비봉면 화성로1616번길 2-35,37.223112,126.854136
건설하이콘(주) 김포공장,경기도 김포시 양촌읍 불당로 65,37.667115,126.613126
삼광산업(주),경기도 여주시 강천면 강천로 32,37.262558,127.716058
(주)대양레미콘,경기도 안산시 단원구 장골1길 46 (대부남동),37.23572,126.574967
쌍용레미콘(주) 광주사업소,경기도 광주시 오포로 738-10(추자동),37.357793,127.223796
(주)원신레미콘,경기도 파주시 월롱면 정문로 220-1,37.779381,126.812079
삼표레미콘 주식회사 여주공장,경기도 여주시 능서면 중부대로 2656,37.296247,127.60029
(주)현창기업 의왕공장,경기도 의왕시 고천공업로 27(고천동),37.350543,126.968541
(주)우신레미콘,경기도 파주시 대골길 246-38(하지석동),37.752273,126.731142
아주산업(주)광주공장,경기도 광주시 장지9길 14(장지동),37.397567,127.236683
쌍용레미콘(주)부천사업소,경기도 부천시 석천로 465(삼정동),37.528327,126.768002
한일시멘트(주)화성공장,경기도 화성시 팔탄면 주석로778번길 100,37.188061,126.893355
신성콘크리트공업(주),경기도 고양시 일산동구 동국로 230(식사동),37.688142,126.814246
한일산업(주) 남서울공장,경기도 안양시 만안구 연현로9번길 88,37.426172,126.899047
